Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17202-30307,RB,Mack,,Brown,0,0,4500,WAS@PHI,WAS,PHI,,
17202-22116,RB,Cyrus,,Gray,0,0,4500,ATL@LA,ATL,LA,,
17202-64104,RB,Terrell,,Watson,0,0,4500,DEN@TEN,DEN,TEN,,
17202-38517,RB,Dreamius,,Smith,0,2,4500,PIT@BUF,PIT,BUF,,
17202-30326,RB,Keith,,Marshall,0,0,4500,WAS@PHI,WAS,PHI,IR,Elbow
17202-29304,RB,Daniel,,Lasco,1.76666673,3,4500,NO@TB,NO,TB,Q,Hamstring
17202-7806,RB,Darren,,McFadden,10.98124981,16,4500,DAL@NYG,DAL,NYG,O,Elbow
17202-27273,RB,Andy,,Janovich,2.314285823,7,4500,DEN@TEN,DEN,TEN,IR,Ankle
17202-32410,RB,Trey,,Williams,1.200000048,1,4500,HOU@IND,IND,HOU,,
17202-22188,RB,Daryl,,Richardson,0.349999994,2,4500,PIT@BUF,PIT,BUF,,
17202-33472,RB,C.J.,,Prosise,8.75,6,4500,SEA@GB,SEA,GB,O,Shoulder
17202-6857,RB,Justin,,Forsett,5.040000153,5,4500,DEN@TEN,DEN,TEN,,
17202-27338,RB,Rex,,Burkhead,2.814285823,7,4500,CIN@CLE,CIN,CLE,,
17202-47828,RB,Antonio,,Andrews,0.5,3,4500,DEN@TEN,TEN,DEN,,
17202-29404,RB,Byron,,Marshall,0,0,4500,WAS@PHI,PHI,WAS,,
17202-39649,RB,Benny,,Cunningham,2.472727342,11,4500,ATL@LA,LA,ATL,,
17202-44784,RB,Darius,,Jackson,0,0,4500,DAL@NYG,DAL,NYG,,
17202-22258,RB,Travaris,,Cadet,3.809999847,10,4500,NO@TB,NO,TB,,
